depth [m],Characteristics
0.00–0.16,-----
0.16–0.76,"brown, remains of plants"
0.76–1.00,-----
1.00–1.12,"brown, remains of plants"
1.12–1.74,"brown and light greyish, matrix–supported rubble"
1.74–3.72,"brown, angular rubble"
3.72–4.85,"brown, matrix–supported rubble"
4.85–6.00,"green and brown, matrix–supported rubble"
6.00–6.28,"brown, matrix–supported rubble"
6.28–6.43,"brown, rounded rubble"
6.43–6.77,brown gyttja
6.77–8.05,"green and brown–greyish, matrix–supported rubble"
8.05–8.58,whitish silt–clay–lamination
8.58–9.45,"yellowish silt–clay–lamination, matrix–supported rubble"
9.45–9.71,-----
9.71–11.00,yellow silt–clay–lamination
11.00–11.18,"dark brown and greyish, rounded rubble"
11.18–12.00,tephra
12.00–12.08,brown
12.08–12.72,tephra
12.72–12.75,brown
12.75–12.95,tephra (JWT)
12.95–14.00,"yellow and brown, matrix–supported rubble"
14.00–14.75,yellow and brown gyttja
14.75–14.82,tephra
14.82–15.60,"green and brown gyttja, white spots"
15.60–17.88,yellow–brown silt–clay–lamination
17.88–18.04,white and reddish
18.04–19.50,yellow–brown silt–clay–lamination
19.50–20.00,greyish silt–clay–lamination
20.00–20.20,tephra (GLT)
20.20–22.50,yellow–brown silt–clay–lamination
22.50–22.55,reddish rounded rubble
22.55–23.50,yellow–brown silt–clay–lamination
23.50–23.55,dark greyish rounded rubble
23.55–26.70,yellow–brown silt–clay–lamination
26.70–26.72,dark greyish
26.72–27.63,yellow–brown silt–clay–lamination
27.63–27.85,dark greyish tephra
27.85–30.80,yellow–brown silt–clay–lamination
30.80–43.00,reddish and brown silt–clay–lamination
43.00–43.50,-----
43.50–44.90,reddish and brown silt–clay–lamination
44.90–46.10,yellow–brown silt–clay–lamination
46.10–46.63,dark greyish rubble
46.63–48.00,"reddish gyttja, partially greyish"
48.00–48.35,-----
48.35–48.88,reddish gyttja
48.88–49.00,dark greyish tephra (lapilli)
49.00–49.50,-----
49.50–50.00,dark greyish tephra (lapilli)
50.00–50.15,light brown gyttja
50.15–50.20,greyish tephra (lapilli)
50.20–51.00,-----
51.00–53.20,dark brown gyttja
53.20–53.30,brown landslide
53.30–54.00,brown gyttja
54.00–54.11,tephra (ash)
54.11–54.78,greenish and brown gyttja
54.78–55.00,"greenish, matrix–supported rubble"
55.00–55.50,"reddish, light-brown landslide"
55.50–56.76,reddish and brown gyttja
56.76–57.00,"greenish and brown gyttja, matrix–supported rubble"
57.00–58.24,"dark brown gyttja, partially reddish"
58.24–58.38,dark grey tephra (lapilli)
58.38–58.50,dark brown gyttja
58.50–59.00,-----
59.00–59.34,dark greyish tephra (lapilli)
59.34–60.22,brown gyttja
60.22–60.30,tephra (ash)
60.30–61.17,brown gyttja
61.17–62.00,dark greyish tephra (lapilli)
62.00–63.00,-----
63.00–64.50,"dark brown gyttja, partially more or less coloured"
64.50–64.92,dark greyish tephra (lapilli)
64.92–65.25,brown gyttja
65.25–65.65,calcite precipitation
65.65–65.82,brown gyttja
65.82–65.97,dark greyish tephra (lapilli)
65.97–66.40,brown gyttja
66.40–66.68,"reddish and greyish gyttja, matrix–supported rubble"
66.68–67.05,dark greyish tephra (lapilli)
67.05–67.38,brown gyttja
67.38–67.58,dark greyish Tephra (lapilli)
67.58–68.58,brown gyttja
68.58–68.75,calcite precipitation
68.75–69.00,brown gyttja
69.00–69.38,dark greyish tephra (lapilli)
69.38–69.53,brown gyttja
69.53–69.56,dark greyish tephra (lapilli)
69.56–69.85,brown gyttja
69.85–70.07,brown and greyish tephra (lapilli)
70.07–71.03,dark greyish sapropel
71.03–71.10,calcite precipitation
71.10–73.07,dark greyish sapropel
73.07–74.60,greyish gyttja
74.60–75.30,tephra (ash)
75.30–76.00,brown and greyish sapropel
76.00–80.00,greyish gyttja
80.00–81.67,greyish sapropel
81.67–81.82,tephra (ash)
81.82–85.00,greyish sapropel
85.00–85.50,brown and greyish gyttja
85.50–86.00,dark greyish sapropel
86.00–86.13,yellow and brown gyttja
86.13–86.43,tephra (HBT)
86.43–86.50,brown and dark greyish sapropel
86.50–86.60,-----
86.60–86.72,brown and dark greyish sapropel
86.72–86.78,tephra (WDT)
86.78–87.00,dark greyish sapropel
