Element,I–1 (27.75 m),I–4 (50.20 m),II–18 (69.38 m),IIII–2 (27.85 m),IIIIII–L1 (20.20 m)
89Y,0.062,0.119,0.164,6.312,0.635
139La,0.004,0.134,0.014,4.023,1.952
140Ce,0.003,0.058,0.025,14.092,3.561
141Pr,0.002,0.008,0.004,2.403,0.305
146Nd,0.012,0.037,0.027,12.785,0.966
147Sm,0.016,0.036,0.023,3.061,0.158
151Eu,0.007,0.080,0.001,0.930,0.040
157Gd,0.048,0.134,0.088,2.608,0.143
159Tb,0.002,0.005,0.004,0.309,0.014
161Dy,0.014,0.038,0.029,1.613,0.114
165Ho,0.002,0.002,0.006,0.257,0.020
167Er,0.008,0.011,0.031,0.629,0.073
179Tm,0.002,0.002,0.004,0.068,0.011
173Yb,0.021,0.011,0.054,0.413,0.086
175Lu,0.004,0.003,0.009,0.055,0.014
