Sample,depth [m],Material & Time Scale,MAF (°C) (1),MAF (°C) (2),MAF (°C) (3)
1,23.00–23.10,"Silt–Clay, MIS 6b",7.93,9.91,10.56
2,29.50–29.60,"Silt–Clay, MIS 6c",9.62,9.36,10.35
3,34.30–34.40,"Silt–Clay, MIS 6c",8.36,9.22,10.34
4,44.10–44.20,"Silt–Clay, MIS 6d",7.02,7.58,9.55
5,56.30–56.40,"Gyttja, MIS 6e",6.74,5.62,8.49
6,65.30–65.40,"Gyttja, MIS 7a",7.30,7.04,9.11
7,68.50–68.60,"Gyttja, MIS 7a",11.64,12.41,11.91
8,71.20–71.30,"Sapropel, MIS 7a",11.33,12.09,11.78
9,75.50–75.60,"Sapropel, MIS 7a",7.93,8.78,10.05
10,81.50–81.60,"Sapropel, MIS 7c",7.98,7.18,9.27
11,83.20–83.30,"Sapropel, MIS 7c",7.79,7.49,9.82
12,84.50–84.60,"Sapropel, MIS 7c",8.76,8.33,9.83
