Sample,depth [m],Lake - Type,Marine - Type,Peat - Type,Soil - Type,Result
1,23.00–23.10,0.824,0.065,0.057,0.054,Lake–type
2,29.50–29.60,0.856,0.048,0.061,0.035,Lake–type
3,34.30–34.40,0.838,0.086,0.039,0.036,Lake–type
4,44.10–44.20,0.883,0.052,0.034,0.031,Lake–type
5,56.30–56.40,0.856,0.083,0.032,0.029,Lake–type
6,65.30–65.40,0.856,0.083,0.024,0.037,Lake–type
7,68.50–68.60,0.867,0.040,0.061,0.033,Lake–type
8,71.20–71.30,0.884,0.035,0.055,0.026,Lake–type
9,75.50–75.60,0.912,0.029,0.028,0.031,Lake–type
10,81.50–81.60,0.897,0.044,0.035,0.024,Lake–type
11,83.20–83.30,0.901,0.040,0.040,0.019,Lake–type
12,84.50–84.60,0.922,0.022,0.038,0.018,Lake–type
