Sample No,complete depth [m],reddish Sandstone,greyish Sandstone,Quartz,Amphibole,Pyroxene,Scoria,Pumice,Sanidine,Leucite,Mica,Marker Tephra
1,11.18–11.24,4,11,15,3,44,6,2,13,0,2,
2,11.50–11.55,9,14,23,1,37,3,1,8,0,4,
3,11.84–11.90,6,12,19,1,46,3,0,8,0,5,
4,12.20–12.30,5,9,10,2,41,4,2,23,0,4,
5,12.50–12.55,3,8,29,3,40,3,0,14,0,0,
6,12.65–12.70,2,26,18,1,26,3,2,20,0,2,
7,12.75–12.80,11,37,13,3,14,10,4,6,0,2,JWT
8,12.90–12.95,10,44,12,1,14,7,4,5,0,3,JWT
9,14.75–14.82,1,26,10,3,33,4,2,18,3,0,
10,20.07–20.12,0,30,11,4,18,2,8,20,5,2,GLT
11,20.16–20.20,1,29,19,2,21,1,10,12,4,1,GLT
12,27.68–27.75,3,19,28,3,29,3,2,12,0,1,
13,27.80–27.85,0,37,21,2,24,3,0,11,0,2,
14,48.88–49.00,4,37,18,2,26,1,4,6,0,2,
15,50.15–50.20,2,34,12,1,31,10,1,5,0,4,
16,54.00–54.10,2,34,6,1,38,2,10,5,0,2,
17,58.24–58.38,12,21,19,0,34,5,0,6,0,3,
18,59.25–59.34,1,25,20,0,37,5,0,5,0,7,
19,60.22–60.30,3,22,17,1,30,6,0,16,0,5,
20,61.33–61.38,10,30,20,2,22,7,0,5,0,4,
21,61.70–61.75,0,24,11,1,33,5,7,13,0,6,
22,61.95–62.00,1,29,10,3,29,11,0,17,0,0,
23,64.64–64.70,3,24,13,1,38,5,0,16,0,0,
24,64.86–64.92,3,21,24,2,29,3,3,11,0,4,
25,65.82–65.97,0,32,20,0,26,4,0,12,0,6,
26,66.68–66.80,0,23,20,0,38,4,0,14,0,1,
27,67.00–67.05,1,22,28,1,32,2,0,13,0,1,
28,67.38–67.58,3,12,19,0,43,5,3,10,0,5,
29,69.30–69.38,4,33,25,0,25,3,0,7,0,3,
30,69.53–69.56,7,28,24,0,11,4,1,18,0,7,
31,69.90–70.00,2,5,26,2,34,3,7,15,0,6,
32,70.00–70.07,2,11,27,1,27,5,0,22,0,5,
33,74.60–74.70,5,37,20,0,22,2,0,12,0,2,
34,75.20–75.30,10,18,31,0,18,4,0,15,0,4,
35,81.77–81.82,2,49,16,0,17,2,3,11,0,0,
36,86.13–86.20,7,22,8,0,5,2,2,48,2,4,HBT
37,86.27–86.31,5,13,10,2,9,4,3,52,1,1,HBT
38,86.37–86.43,5,14,5,3,10,6,2,51,2,2,HBT
