Sample Name (depth [m]),SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,SrO,BaO,NiO,Total
I-1 (27.75),39.46,0.01,0.03,b.d.l.,13.72,0.24,46.07,0.24,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.17,99.97
I-2 (27.85),39.34,0.03,0.02,b.d.l.,13.61,0.25,46.12,0.25,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.26,99.90
I-3 (49.00),39.30,0.02,0.03,b.d.l.,13.56,0.23,46.17,0.24,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.17,99.74
I-4 (50.20),63.68,0.02,18.87,b.d.l.,0.18,b.d.l.,b.d.l.,b.d.l.,2.68,12.69,b.d.l.,0.89,b.d.l.,99.04
I-5 (54.10),39.67,0.02,0.02,0.03,12.34,0.21,47.11,0.26,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.21,99.90
I-6 (58.38),39.04,0.02,0.03,b.d.l.,15.62,0.29,44.52,0.31,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.15,99.98
I-7 (59.34),39.44,0.01,0.02,b.d.l.,13.33,0.22,46.40,0.25,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.18,99.88
I-8 (60.30),39.27,0.01,0.03,0.02,13.28,0.20,46.23,0.24,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.20,99.52
I-9 (61.38),b.d.l.,b.d.l,b.d.l.,b.d.l.,0.47,0.07,0.37,50.71,b.d.l.,b.d.l.,0.06,b.d.l.,b.d.l.,51.74
I-10 (61.75),39.39,b.d.l.,0.03,b.d.l.,13.46,0.23,45.97,0.26,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.18,99.56
II-11 (62.00),63.82,0.02,18.69,b.d.l.,0.18,b.d.l.,b.d.l.,0.04,3.54,11.47,b.d.l.,0.96,b.d.l.,98.75
II-12 (64.70),b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.03,0.57,52.21,b.d.l.,b.d.l.,0.05,b.d.l.,b.d.l.,52.92
II-13 (64.92),39.67,0.02,0.03,0.02,13.07,0.23,46.59,0.28,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.16,100.09
II-14 (65.97),39.23,0.02,0.02,b.d.l.,13.84,0.24,45.55,0.30,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.10,99.33
II-15 (66.80),39.58,0.02,0.03,0.02,12.51,0.22,46.75,0.33,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.18,99.66
II-16 (67.05),98.82,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.86
II-17 (67.58),b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,0.10
II-18 (69.38),98.48,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.55
II-19 (69.56),0.88,b.d.l.,b.d.l.,b.d.l.,0.13,0.06,0.05,52.69,0.22,b.d.l.,0.35,b.d.l.,b.d.l.,54.41
