Point,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,SrO,BaO,NiO,Total
Auf Dickel (along Line 001-010),63.87,0.01,18.73,0.02,0.15,b.d.l.,b.d.l.,0.01,3.02,12.18,b.d.l.,1.09,b.d.l.,99.08
Auf Dickel (along Line 011-020),63.77,0.01,18.67,b.d.l.,0.14,b.d.l.,b.d.l.,0.01,3.00,12.24,b.d.l.,1.12,b.d.l.,98.99
Auf Dickel (along Line 021-030),63.75,0.02,18.71,b.d.l.,0.16,b.d.l.,b.d.l.,0.01,2.98,12.25,b.d.l.,1.12,b.d.l.,99.01
Auf Dickel (along Line 031-040),63.72,0.01,18.68,0.03,0.16,b.d.l.,b.d.l.,0.01,3.00,12.23,b.d.l.,1.12,b.d.l.,98.95
Auf Dickel (along Line 041-050),63.52,0.02,18.72,b.d.l.,0.18,b.d.l.,b.d.l.,0.01,2.95,12.20,b.d.l.,1.10,b.d.l.,98.71
Auf Dickel (along Line 051-060),63.66,0.02,18.69,0.04,0.16,b.d.l.,b.d.l.,0.01,2.99,12.24,b.d.l.,1.08,b.d.l.,98.86
Auf Dickel (along Line 061-070),63.54,0.02,18.74,b.d.l.,0.16,b.d.l.,b.d.l.,0.01,2.99,12.29,b.d.l.,1.09,b.d.l.,98.84
Auf Dickel (across Line 001-010),63.51,0.02,18.72,b.d.l.,0.16,b.d.l.,b.d.l.,0.01,2.98,12.25,b.d.l.,1.10,b.d.l.,98.75
Auf Dickel (across Line 011-020),63.50,0.02,18.69,b.d.l.,0.15,b.d.l.,b.d.l.,0.01,3.01,12.24,b.d.l.,1.08,b.d.l.,98.72
Auf Dickel (across Line 021-030),60.65,0.02,17.99,b.d.l.,0.14,b.d.l.,b.d.l.,0.01,2.88,11.75,b.d.l.,1.03,b.d.l.,94.48
Auf Dickel (along Line 001-010),63.39,0.01,18.36,b.d.l.,0.17,b.d.l.,b.d.l.,0.03,3.14,12.29,b.d.l.,1.02,b.d.l.,98.43
Auf Dickel (along Line 011-020),63.35,0.02,18.50,b.d.l.,0.16,b.d.l.,b.d.l.,0.02,3.12,12.22,b.d.l.,1.03,b.d.l.,98.42
Auf Dickel (along Line 021-030),63.39,0.01,18.49,b.d.l.,0.18,b.d.l.,b.d.l.,0.01,3.07,12.15,b.d.l.,1.05,b.d.l.,98.36
Auf Dickel (along Line 031-040),63.38,0.02,18.62,b.d.l.,0.16,b.d.l.,b.d.l.,0.01,3.10,12.03,b.d.l.,1.10,b.d.l.,98.44
Auf Dickel (along Line 041-050),63.38,0.02,18.66,b.d.l.,0.17,b.d.l.,b.d.l.,0.01,3.04,12.08,b.d.l.,1.12,b.d.l.,98.50
Auf Dickel (along Line 051-060),63.43,0.02,18.64,b.d.l.,0.17,b.d.l.,b.d.l.,0.01,3.07,12.06,b.d.l.,1.07,b.d.l.,98.48
Auf Dickel (along Line 061-070),63.33,0.02,18.64,b.d.l.,0.17,b.d.l.,b.d.l.,0.01,3.12,12.00,b.d.l.,1.10,b.d.l.,98.40
Auf Dickel (across Line 001-010),63.25,0.02,18.68,b.d.l.,0.16,b.d.l.,b.d.l.,0.01,3.09,12.05,b.d.l.,1.08,b.d.l.,98.35
Auf Dickel (across Line 011-020),63.32,0.02,18.68,b.d.l.,0.17,b.d.l.,b.d.l.,0.01,3.08,12.07,b.d.l.,1.08,b.d.l.,98.46
Auf Dickel (across Line 021-030),63.31,0.02,18.65,b.d.l.,0.17,b.d.l.,b.d.l.,0.02,3.17,11.99,b.d.l.,1.09,b.d.l.,98.42
