Sample,depth [m],Time Scale,Organic Sediment
1,6.48–6.53,MIS 6a,Gyttja; solid material from core
2,14.42–14.47,MIS 6a,Gyttja; material in liquid
3,15.35–15.40,MIS 6a,Gyttja; solid material from core
4,47.75–47.80,MIS 6e,Gyttja; solid material from core
5,51.48–51.53,MIS 6e,Gyttja; material in liquid
6,65.48–65.63,MIS 7a,Gyttja; material in liquid
7,71.05–71.10,MIS 7a,Sapropel; solid material from core
8,72.30–72.35,MIS 7a,Sapropel; material in liquid
9,77.75–77.80,MIS 7b,Gyttja; material in liquid
10,80.17–80.22,MIS 7c,Sapropel; solid material from core
11,82.77–82.82,MIS 7c,Sapropel; solid material from core
12,84.47–84.52,MIS 7c,Sapropel; solid material from core
13,86.80–86.85,MIS 7c,Sapropel; material in liquid
