Sample,Huminite count [#],Inertinite count [#],Liptinite count [#],Huminite fraction [%],Inertinite fraction [%],Liptinite fraction [%]
1,68,24,187,24.37,8.60,67.03
2,211,7,259,44.23,1.47,54.30
3,243,50,335,38.69,7.96,53.34
4,78,16,280,20.86,4.28,74.87
5,134,6,143,47.35,2.12,50.53
6,250,33,188,53.08,7.01,39.92
7,252,24,193,53.73,5.12,41.15
8,338,20,255,55.14,3.26,41.60
9,188,55,237,39.17,11.46,49.38
10,44,25,229,14.77,8.39,76.85
11,181,29,248,39.52,6.33,54.15
12,120,13,147,42.86,4.64,52.50
13,38,10,251,12.71,3.34,83.95
