Sample,depth [m],TC [%],TOC [%],TIC [%],TN [%],TS [%],TOC/TN,TOC/TS
1,6.53,1.65,1.36,0.29,0.11,0.93,12.40,1.50
2,14.47,1.16,0.81,0.35,0.06,0.14,13.50,5.60
3,15.40,1.69,0.39,1.30,0.07,0.73,5.60,0.50
4,47.80,0.77,0.36,0.41,0.09,0.72,4.00,0.50
5,51.53,1.66,1.31,0.35,0.08,0.30,16.40,4.40
6,65.63,n.d.,n.d.,n.d.,0.13,0.56,n.d.,n.d.
7,71.10,4.12,0.42,3.70,0.05,0.58,8.40,0.70
8,72.35,7.89,5.71,2.18,0.21,1.22,27.20,4.70
9,77.80,1.61,0.62,0.99,0.10,0.30,6.20,2.10
10,80.22,1.49,0.35,1.14,0.06,0.85,5.80,0.40
11,82.82,1.27,0.36,0.91,0.07,0.30,5.10,1.20
12,84.52,0.81,0.47,0.34,0.06,13.82,7.80,0
13,86.85,0.98,0.45,0.53,0.05,1.90,9.00,0.20
