sample,reddish Sandstone,greyish Sandstone,Quartz,Amphibole,Pyroxene,Scoria,Pumice,Sanidine,Leucite,Mica
G1a,3,18,9,2,18,30,9,11,0,0
G1b,1,15,7,2,32,19,8,14,0,2
G1c,1,12,12,3,28,23,5,15,0,1
G1d,0,29,6,1,30,23,3,8,0,0
G1e,2,25,6,4,20,21,4,16,0,2
G2a,17,6,8,4,33,15,2,15,0,0
G2b,6,8,18,3,33,0,0,32,0,0
G2c,10,6,20,1,11,13,2,35,0,2
G2d,10,13,12,0,9,23,3,27,0,3
G2e,15,6,7,0,11,39,7,15,0,0
G2f,17,40,8,1,15,5,0,13,0,1
G2g,6,19,6,1,20,0,0,47,0,1
G2h,9,11,24,1,15,0,0,39,0,1
G2i,6,11,28,2,11,0,0,41,0,1
G2j,11,17,20,0,11,0,0,39,0,2
