Sample (depth [m]),Primary (P) / Secondary (S),Characteristics
1 (27.75),P,"clearly embedded, rather angular, varying grain size"
2 (27.85),P,"clearly embedded, rather angular, with varying grain size"
3 (49.00),P,"clearly embedded, rather angular, with varying grain size"
4 (50.20),P,"clearly embedded, angular, varying grain size"
5 (54.10),P,"embedded, angular, with varying grain size"
6 (58.38),P,"embedded, rather angular, with varying grain size"
7 (59.34),P,"clearly embedded, angular, varying grain size"
8 (60.30),P,"embedded, blocks, angular, varying grain size"
9 (61.38),S,"smooth transition, slightly angular, varying grain size"
10 (61.75),S,"smooth transition, slightly angular, varying grain size"
11 (62.00),S,"smooth transition, slightly rounded, varying grain size"
12 (64.70),P,"clearly embedded, angular, varying grain size"
13 (64.92),P,"clearly embedded, angular, with varying grain size"
14 (65.97),S,"smooth transition, slightly rounded, with varying grain size"
15 (66.80),S,"slightly different material, slightly rounded, with varying grain size"
16 (67.05),P,"embedded, angular, with varying grain size"
17 (67.58),S,"slightly different material, slightly angular, with varying grain size"
18 (69.38),S,"smooth transition, rounded, with varying grain size"
19 (69.56),S,"smooth transition, rounded, with varying grain size"
20 (70.00),S,"smooth transition, slightly rounded, varying grain size"
21 (70.07),S,"slightly different material, slightly rounded, varying grain size"
22 (74.70),S,"smooth transition, slightly rounded, varying grain size"
23 (75.30),S,"smooth transition, slightly rounded, with varying grain size"
24 (81.82),S,"large blocks, rounded (!), same grain size"
"25 (WDT, 86.78)",P,"soft, large blocks (!), rather angular, same grain size"
26 (12.70),P,"other material, angular, sharp (!), same grain size"
"27 (JWT, 12.95)",P,"other material, angular, sharp, same grain size"
28 (14.82),P,"other material, angular, sharp, Leucite, same grain size"
"29 (GLT, 20.20)",P,"other material, angular, Leucite, same grain size"
"30 (HBT, 86.43)",P,"other material, angular, Leucite, same grain size"
